t,solar,wind
1382,0.063,0.025
1383,0,0.185
1384,0,0.304
1385,0,0.262
1386,0,0.132
1387,0,0.045
1388,0,0.022
1389,0,0.017
1390,0,0.02
1391,0,0.028
1392,0,0.035
1393,0,0.05
1394,0,0.097
1395,0,0.139
1396,0.343,0.151
1397,0.704,0.072
1398,0.789,0.016
1399,0.814,0.014
1400,0.82,0.005
1401,0.815,0.001
1402,0.802,0.001
1403,0.777,0.002
1404,0.73,0.003
1405,0.644,0.002
1406,0.456,0.002
1407,0.088,0.006
1408,0,0.013
1409,0,0.066
1410,0,0.153
1411,0,0.171
1412,0,0.139
1413,0,0.138
1414,0,0.169
1415,0,0.231
1416,0,0.298
1417,0,0.37
1418,0,0.401
1419,0,0.419
1420,0.373,0.436
1421,0.719,0.248
1422,0.792,0.081
1423,0.811,0.082
1424,0.814,0.063
1425,0.805,0.098
1426,0.79,0.194
1427,0.764,0.231
1428,0.718,0.189
1429,0.636,0.179
1430,0.454,0.147
1431,0.067,0.069
1432,0,0.03
1433,0,0.028
1434,0,0.032
1435,0,0.024
1436,0,0.022
1437,0,0.026
1438,0,0.035
1439,0,0.047
1440,0,0.046
1441,0,0.032
1442,0,0.018
1443,0,0.04
1444,0.174,0.086
1445,0.614,0.063
1446,0.728,0.032
1447,0.733,0.076
1448,0.721,0.104
1449,0.724,0.134
1450,0.581,0.17
1451,0.615,0.216
1452,0.468,0.236
1453,0.427,0.223
1454,0.083,0.135
1455,0,0.11
1456,0,0.109
1457,0,0.088
1458,0,0.07
1459,0,0.062
1460,0,0.066
1461,0,0.084
1462,0,0.141
1463,0,0.224
1464,0,0.306
1465,0,0.458
1466,0,0.578
1467,0,0.595
1468,0.374,0.492
1469,0.688,0.219
1470,0.778,0.201
1471,0.811,0.138
1472,0.827,0.07
1473,0.821,0.014
1474,0.808,0.007
1475,0.782,0.002
1476,0.734,0.001
1477,0.647,0.059
1478,0.454,0.11
1479,0.097,0.531
1480,0,0.639
1481,0,0.559
1482,0,0.491
1483,0,0.499
1484,0,0.477
1485,0,0.43
1486,0,0.399
1487,0,0.37
1488,0,0.372
1489,0,0.392
1490,0,0.404
1491,0,0.394
1492,0.221,0.349
1493,0.445,0.282
1494,0.604,0.211
1495,0.741,0.153
1496,0.832,0.092
1497,0.886,0.045
1498,0.887,0.018
1499,0.86,0.003
1500,0.811,0.002
1501,0.72,0.002
1502,0.524,0.035
1503,0.084,0.182
1504,0,0.376
1505,0,0.352
1506,0,0.291
1507,0,0.256
1508,0,0.212
1509,0,0.199
1510,0,0.177
1511,0,0.146
